stock id,profit_margin,total_asset_turnover,financial_leverage,ROE,UpperCI ROE,LowerCI ROE
2408,0.3680484954849541,0.10123980604040977,3.740102480072944,10.214927699765054,33.90662379931315,-13.476768399783046
2912,0.05599529605957038,0.4707362565300137,3.648749295039171,8.462356178621706,18.854131826828006,-1.9294194695845945
9910,0.0818306315309347,0.4711836468287743,2.089973158164299,8.179034883327391,13.275558973447524,3.08251079320726
3034,0.1490605334995226,0.3054494967135675,1.6046383858333864,7.534403679584061,16.11720144179963,-1.0483940826315052
3008,0.4451348661294331,0.12965487398655912,1.2839171791906985,7.317497060228264,13.90947271710704,0.7255214033494877
2330,0.3558030843860775,0.12846913923044992,1.4404381662937493,6.628089218210852,9.311593436629172,3.9445849997925317
6415,0.2330251492877491,0.220750623316063,1.1798195825531872,6.09331941282889,12.90113774823576,-0.7144989225779792
2615,0.12032213259968703,0.21330889995810276,2.273471755121369,6.073205250270976,22.98982669062717,-10.843416190085215
2379,0.10876422551730017,0.21607900129382962,2.406789210900379,6.0214048784314835,12.67529698002647,-0.6324872231635021
2395,0.13835426922341176,0.2806144527453833,1.5219949693453823,5.910287959778655,7.5061614196803115,4.314414499876999
3045,0.1188092020709545,0.2002331502779297,2.399015987007283,5.613857001360683,7.994969830964457,3.2327441717569103
2327,0.18779317640915463,0.12470366086103674,2.196292486070276,5.553768588905652,15.399817195730304,-4.292280017919
5871,0.25332356060627537,0.03335099109621425,6.47178175165056,5.315599380679326,6.353352645375367,4.2778461159832855
2207,0.05875725090933898,0.2299112294579819,3.7483664638353424,5.050372823720438,12.501929644462134,-2.401183997021258
1590,0.2108375658533203,0.12272211879247437,1.9326662504717724,5.045978508932067,8.602442409035186,1.489514608828948
2603,0.10588802414362827,0.1905480234752401,3.091333229563639,4.853668758816998,25.429273209332585,-15.72193569169859
1216,0.06651755044389103,0.2568180011324843,2.6502299097697217,4.361752728204455,9.796316470923319,-1.0728110145144099
3711,0.07490015544376351,0.21422265292623194,2.523133437025511,4.23389539172511,9.156247814515229,-0.6884570310650098
2308,0.09411361550555444,0.2281061429749079,1.8942411322870192,4.108350686350729,6.236188299000499,1.9805130737009584
4904,0.11588152065303241,0.1613858844086226,2.0477709085751803,3.6873201324500324,5.14507608219644,2.2295641827036246
2454,0.14631755777299021,0.16312101429325734,1.4907596374138747,3.686035899333987,7.886260648745543,-0.5141888500775686
2382,0.019615211403564953,0.41456722113982847,4.355070580640594,3.5504696416489767,5.806208394520118,1.2947308887778353
6505,0.06559613013877358,0.3862718142587691,1.526032690461946,3.510034085258358,10.174690320287223,-3.154622149770508
1303,0.13139523831363073,0.14102817267347953,1.6127889140541385,3.020844477103234,6.253721263594385,-0.21203230938791684
1301,0.17467473097524924,0.11538132512329465,1.4731160554457308,2.9474451361304927,6.097651701200491,-0.20276142893950588
2317,0.02640625754622701,0.4372033055949416,2.4042041439634936,2.904623756628362,5.73094591094244,0.07830160231428396
2357,0.04468572234402572,0.31540350498932596,2.0051492913877467,2.8901399276023207,5.9206259414077484,-0.14034608620310696
2412,0.1760504798187229,0.11762292334860416,1.2538234826280268,2.584289444929965,3.2796752484930654,1.8889036413668643
1326,0.10219077949590741,0.16097972736837143,1.4886505996036352,2.375495337285198,5.432474500491409,-0.6814838259210134
1101,0.1404033601804872,0.08536320224507317,1.8342483678588337,2.2390221988759174,4.6889565018792645,-0.21091210412743022
2303,0.10730252954689909,0.11023214027508402,1.6318695934977938,2.102480138743987,6.815795901499816,-2.610835624011842
3037,0.045384364223462134,0.16982546413324864,2.2176297787174337,2.0047058782910008,8.190545301443526,-4.181133544861524
8046,0.04582306672943238,0.19676348392343435,1.3149660585921916,1.7154722032143717,9.120178116570765,-5.689233710142021
2609,0.0672004505583262,0.2256162079923392,5.9008152468217245,1.6839924509835906,31.730943077624566,-28.362958175657383
2002,0.05757582401668003,0.13429804045288987,2.030567914640172,1.6684617896792628,4.516518181245394,-1.1795946018868684
1402,0.065993450160911,0.10926721443438,2.1308162504369186,1.5186547542491609,2.476670648081779,0.560638860416543
